school,state,subject,course_level,time,location,group_type
University of Phoenix at Aurora,Kansas,Landscape Horticulture,400,2021-09-27,"[39.6594845, -104.8386216]",Group
Pacific Oaks College -  Sonrise Christian School,Wyoming,Rehabilitation Services,500,2022-08-31,"[34.089036799999995, -117.865575]",Partner
Triton College,Iowa,Architectural Engineering,800,2021-10-28,"[41.91503779999999, -87.83885889999998]",Partner
Iowa Valley Community College District at Grinnell,Pennsylvania,History,700,2022-10-31,"[41.7442764, -92.7243723]",Partner
Los Angeles Harbor College,Montana,Medical Technology,700,2022-08-29,"[33.7841, -118.28408909999999]",Group
Fuller Theological Seminary (Orange County Regional Campus),Kentucky,Environmental Science,400,2022-11-29,"[33.688833100000004, -117.856273]",Partner
Bristol Community College at Taunton High School,Georgia,Music,500,2022-10-29,"[41.9016176, -71.0713528]",Partner
Southeastern University,Delaware,Botany/Plant Biology,100,2021-07-29,"[28.030130600000003, -81.9179961]",Group
Maricopa Community Colleges - Mesa Community College at Downtown Center,New Jersey,American Sign Language,600,2021-07-30,"[33.4187009, -111.8277007]",Partner
DePaul University - O'Hare Campus,North Carolina,Biology,200,2022-11-28,"[41.99642539999999, -87.8622302]",Partner
Feather River College,Iowa,Geological Engineering ,500,2021-12-30,"[39.9530598, -120.97284350000001]",Group
Ivy Tech Community College of Indiana at Porter County Career and Technical Center,Georgia,Chinese ,400,2021-08-30,"[41.477503000000006, -87.06016240000001]",Group
Butler County Community College - Butler of McConnell,Florida,American History,600,2022-10-29,"[37.631151700000004, -97.25180040000001]",Group
West Side Campus,California,Latin American Studies ,600,2021-08-30,"[41.390713399999996, -73.5026173]",Group
Western Illinois University at Central Intermediate School,Oregon,Industrial Management ,100,2022-09-30,"[40.7071186, -89.42603299999998]",Group
Colby Community College,Vermont,English Composition ,200,2022-11-28,"[39.377564500000005, -101.0528795]",Group
Illinois State University at Braun Educational Center,Massachusetts,Human Resources Management ,400,2021-11-29,"[41.6185526, -87.76741589999997]",Partner
Celebrity Stylist Beauty School,Missouri,Printmaking ,600,2021-09-28,"[32.5211889, -92.0855391]",Partner
Harrington College of Design,New York,Health Administration,300,2021-08-28,"[41.8823135, -87.63431829999998]",Partner
Ivy Tech Community College of Indiana at IPS Career & Technology Center,Pennsylvania,Islamic Studies ,300,2022-08-29,"[39.777591799999996, -86.13534840000001]",Partner
"Nova Southeastern University - San Juan, PR campus",California,Astronomy,500,2021-09-27,"[18.390814300000002, -66.0340585]",Partner
Western International University at Salt River Project - PAB,Missouri,American Studies,100,2021-07-31,"[33.4375719, -111.91054740000001]",Partner
Hawaii Business College,California,Aquatic Biology,100,2022-07-28,"[21.310160999999997, -157.86296399999998]",Partner
Core Institute,Washington,Aerospace Engineering,200,2021-08-30,"[30.446653499999996, -84.2838792]",Partner
Winterset High School,Arizona,Surveying ,300,2022-08-28,"[41.3267294, -94.0234521]",Partner
Indiana Wesleyan University at Goshen High School,Wisconsin,Urban Studies,400,2021-12-29,"[41.547147100000004, -85.8690933]",Group
Benedictine University at Thornton Fractional Center for Academics and Technology,Washington,Artificial Intelligence and Robotics,100,2022-08-27,"[41.585556700000005, -87.5289988]",Group
Southern Illinois University Edwardsville at Centralia (Centralia Junior High School),Arizona,Epidemiology,400,2022-11-27,"[38.5157651, -89.1296564]",Partner
Milledgeville Campus,Massachusetts,Biomedical Science,100,2022-08-28,"[33.093672999999995, -83.27169930000001]",Partner
University of Phoenix at Kearny Mesa Learning Center,Michigan,Textile Engineering ,600,2022-08-28,"[32.814465000000006, -117.118022]",Partner
Johns Hopkins University - School of Nursing,Delaware,African Studies,600,2021-11-29,"[39.296837100000005, -76.59052259999999]",Partner
Saint Vincent's College at SHU,New Jersey,Criminal Science,600,2022-09-29,"[41.2020458, -73.20141579999998]",Group
University of Phoenix at Rancho Cordova Learning Center,Arizona,Museum Studies,400,2022-11-28,"[38.5931299, -121.28112229999999]",Partner
Roosevelt University at Elgin Community Collge,Missouri,Agronomy and Crop Science,100,2022-07-28,"[42.017698100000004, -88.3228321]",Group
Southern Illinois University Carbondale at Jacksonville Naval Air Station,Nebraska,Jazz Studies,600,2022-08-31,"[30.223403899999997, -81.68412009999999]",Group
Kansas City Kansas Community College at Technical Education Center,Idaho,Architectural Engineering,700,2021-10-31,"[39.1310908, -94.7165172]",Partner
Indiana Wesleyan University at Jasper Inn & Convention Ctr,District  of Columbia,Social Psychology ,600,2022-12-28,"[38.375102500000004, -86.9431626]",Group
Lake Land College at Dwight Correctional Center,Maine,Welding Engineering ,700,2021-07-30,"[41.099033399999996, -88.47649589999997]",Group
Shawnee Community College at Anna Extension Center,Florida,Latin American Studies ,600,2022-11-30,"[37.462846899999995, -89.2306074]",Group
ITT Technical Institute - Jacksonville,Montana,Kinesiology,100,2021-09-28,"[30.248978700000002, -81.5813833]",Partner
Ballard HS,Hawaii,Automotive Engineering,100,2022-07-27,"[38.2833461, -85.6261423]",Partner
Pacific Oaks College -  Plaza Community Services (ELAC Cohort),Illinois,Fashion Design,600,2021-07-31,"[34.02031729999999, -118.1463524]",Partner
Northern Illinois University at Oakton Community College,Vermont,Pharmacology ,500,2021-07-29,"[42.054790600000004, -87.8865115]",Group
Southern Illinois University Carbondale at Barnes-Jewish Hospital,South Dakota,Culinary Arts,500,2021-11-29,"[38.635666, -90.2644122]",Group
Frontier Academy High School,District  of Columbia,Biblical Studies,800,2021-12-30,"[40.4128325, -104.7876766]",Partner
Capitol Technology University at Southern Maryland Higher Education Center,Pennsylvania,Political Science,600,2022-09-27,"[38.3128121, -76.54502769999998]",Group
Concordia University Chicago at Steeple Run School,Arkansas,Petroleum Engineering ,200,2021-10-30,"[41.78265, -88.1050166]",Partner
Empire Beauty School - Waterville,Texas,Clinical Psychology ,400,2021-07-28,"[44.5443809, -69.6663035]",Partner
Cambridge College at Puerto Rico,Missouri,Biology,700,2021-10-28,"[18.4250788, -66.0582314]",Group
University of Phoenix at Livermore Learning Center,Minnesota,Gerontology ,300,2021-10-28,"[37.7019627, -121.8097291]",Partner
Children's Hospital,New Mexico,Music Education,400,2022-07-27,"[39.7422495, -104.8349311]",Group
Red Bud Campus,Texas,Music History ,300,2021-10-29,"[38.207269700000005, -90.0006995]",Partner
ASU at Mesa City Center,Alaska,Floriculture,500,2022-11-29,"[33.4152804, -111.82888030000001]",Group
Aurora University at Berkeley School District 87,New Mexico,Interior Architecture ,200,2021-10-29,"[41.892323700000006, -87.9037122]",Group
University of Illinois at Urbana-Champaign at Sangamon County Office,Kentucky,Advertising,500,2021-09-29,"[39.8193334, -89.64455600000001]",Group
University of Phoenix at Hilton Hotel - Pasadena,Alabama,South Asian Studies,200,2021-09-29,"[34.1428322, -118.140666]",Partner
Trinity Christian College - Daystar Campus,Arkansas,Human Development,800,2022-09-29,"[41.8604249, -87.62812209999998]",Partner
Corbin Campus,Connecticut,Wildlife Management ,300,2022-08-28,"[36.94736210000001, -84.0609076]",Partner
Paris Beauty College,Utah,Communications Studies/Speech Communication and Rhetoric,800,2022-10-31,"[37.9732196, -122.0436091]",Group
SU - Art Inst of Charlotte,Kentucky,Data Processing,500,2021-10-29,"[35.181824799999994, -80.9275565]",Group
Benedictine University at Naperville Fire Station 3,Montana,Peace Studies,500,2022-12-28,"[41.8022939, -88.14244409999998]",Partner
GMC Augusta,Wisconsin,Public Health ,300,2021-07-28,"[33.5103697, -82.08547229999998]",Group
Lake Land College at Western Illinois Correctional Center,Mississippi,Jewish Studies,300,2022-10-31,"[39.96261989999999, -90.7509645]",Group
Olivet Nazarene University at Morrill Math & Science,Minnesota,Jewelry and Metalsmithing,400,2021-12-30,"[41.78402759999999, -87.68823270000001]",Group
Northwest Kansas Technical College at North Central Kansas Technical College,Nebraska,Aerospace Engineering,800,2021-08-30,"[38.8803985, -99.2909463]",Partner
Malcolm X College West Side Learning Center,Rhode Island,Ancient Studies ,200,2021-11-29,"[41.881231899999996, -87.74111909999998]",Group
Chattahoochee Technical College,Kentucky,Wildlife Management ,200,2021-12-31,"[33.9292849, -84.553242]",Partner
University of Central Arkansas at Southeast Arkansas College,Minnesota,Toxicology,300,2021-08-30,"[34.209861100000005, -92.02640059999999]",Partner
Emerson College,Washington,Accounting,700,2021-07-28,"[42.35223920000001, -71.0657944]",Group
Governors State University at Naperville Education Center,District  of Columbia,Rehabilitation Services,400,2022-12-28,"[41.7093471, -88.1901807]",Partner
National Louis University at Addison Trail HS,Hawaii,Computer Systems Analysis ,500,2022-07-29,"[41.931314, -88.0213464]",Partner
Anne Arundel Community College,Pennsylvania,Government,800,2021-07-29,"[39.0490696, -76.516773]",Partner
E Q School of Hair Design,District  of Columbia,Ancient Studies ,200,2021-12-29,"[41.235456899999996, -95.8580529]",Group
Pima Medical Institute - East Valley,Delaware,Organizational Behavior Studies,800,2021-11-28,"[33.376341700000005, -111.68950179999999]",Partner
Arkansas College of Barbering & Hair Design,Nevada,Musical Theater,300,2021-08-28,"[34.67215330000001, -92.343337]",Partner
Herrera School,Alaska,East European Studies,300,2022-07-27,"[33.435857899999995, -112.0586023]",Partner
University of New Haven at Naugatuck Valley Community College,Arkansas,Child Care,600,2022-08-30,"[41.5493886, -73.0711355]",Group
Greenville College at Lewis and Clark Community College - Godfrey,Wyoming,Accounting,800,2021-11-27,"[38.9518844, -90.1962632]",Group
Moody-Aviation,Alaska,Welding Engineering ,800,2021-08-29,"[47.68203159999999, -117.3134192]",Group
Harlem High School,Nebraska,East European Studies,400,2022-10-28,"[42.35737, -89.026274]",Group
Luther Rice College and Seminary,Rhode Island,Mass Communication ,100,2021-08-29,"[33.698, -84.12310459999998]",Group
Hagerstown Community College at Maryland Correctional Training Center,Iowa,Human Development,400,2021-10-28,"[39.5643927, -77.71444609999999]",Group
Delgado Community College,Rhode Island,Anatomy,500,2021-12-28,"[29.984703399999997, -90.104671]",Group
Stucky Middle School,Massachusetts,Biomedical Science,400,2022-09-30,"[37.7646476, -97.2876612]",Group
Johns Hopkins University at Applied Physics Laboratory,Rhode Island,Epidemiology,700,2021-09-27,"[39.164049799999994, -76.89703979999999]",Partner
